Unnamed: 0,ProdTaken,Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,Designation,MonthlyIncome
1504,1,24.0,1,1,6.0,3,2,3,3.0,0,3.0,1,3.0,1,3,0,2.0,1,17293.0
1845,0,49.0,1,1,13.0,2,2,2,4.0,3,3.0,3,1.0,0,1,1,0.0,3,25965.0
529,0,38.0,1,1,6.0,2,1,2,2.0,1,3.0,3,1.0,0,2,1,1.0,2,22625.0
4501,0,53.0,1,1,18.0,2,1,3,4.0,1,3.0,1,2.0,0,1,1,1.0,2,21827.0
3696,0,35.0,1,1,9.0,3,2,4,2.0,0,3.0,1,2.0,1,1,0,2.0,1,21610.0
3968,0,27.0,1,3,30.0,3,1,3,5.0,1,3.0,1,2.0,1,1,0,1.0,2,22835.0
635,0,35.0,1,1,15.0,2,1,3,4.0,3,3.0,0,2.0,1,4,1,1.0,3,25685.0
3230,0,28.0,0,1,15.0,2,2,3,6.0,0,3.0,0,3.0,0,2,1,2.0,1,23299.0
2317,0,34.0,0,1,7.0,3,2,3,4.0,1,5.0,2,1.0,0,1,0,0.0,2,20343.0
4416,0,54.0,1,3,7.0,3,0,3,4.0,1,5.0,3,2.0,0,1,1,2.0,2,27059.0
1579,0,22.0,1,1,21.0,3,1,2,3.0,0,3.0,2,2.0,0,1,1,1.0,1,17871.0
3209,0,39.0,0,1,10.0,2,2,3,4.0,0,3.0,0,5.0,0,3,1,2.0,1,21499.0
1075,0,32.0,1,1,16.0,3,2,1,3.0,3,3.0,3,3.0,0,1,0,0.0,3,26244.0
626,0,32.0,1,1,14.0,3,1,3,1.0,1,3.0,0,6.0,0,3,1,2.0,2,20175.0
3565,0,37.0,1,3,7.0,2,0,4,4.0,1,3.0,3,8.0,0,1,1,2.0,2,25493.0
3546,0,37.0,1,3,9.0,2,2,4,4.0,0,3.0,3,5.0,1,3,0,1.0,1,21322.0
687,0,36.0,1,1,8.0,3,2,3,3.0,0,3.0,2,5.0,0,5,1,0.0,1,17519.0
697,0,29.0,0,3,26.0,1,1,2,3.0,0,3.0,0,2.0,0,3,0,1.0,1,17157.0
1743,0,37.0,1,3,12.0,3,2,3,3.0,1,3.0,1,5.0,0,3,1,0.0,2,21502.0
2184,0,50.0,1,1,6.0,3,2,3,3.0,4,3.0,1,1.0,0,5,0,2.0,0,32399.0
758,0,59.0,1,3,6.0,1,2,3,3.0,3,3.0,0,4.0,1,2,0,1.0,3,26904.0
551,0,39.0,1,2,9.0,2,1,2,2.0,1,4.0,0,1.0,0,2,1,0.0,2,21389.0
2440,1,27.0,0,1,30.0,2,2,3,4.0,0,3.0,2,2.0,1,3,1,1.0,1,17534.0
270,0,55.0,1,1,6.0,3,2,2,3.0,2,5.0,2,1.0,1,2,1,0.0,4,34045.0
3636,0,50.0,1,1,23.0,3,1,4,4.0,0,5.0,1,6.0,1,1,1,2.0,1,21265.0
4048,0,27.0,1,2,32.0,2,1,4,4.0,0,3.0,1,3.0,0,4,1,2.0,1,21620.0
932,1,29.0,1,1,13.0,1,1,2,3.0,0,3.0,1,4.0,1,4,1,1.0,1,18339.0
4140,0,38.0,0,3,11.0,3,2,3,4.0,0,3.0,1,6.0,0,4,1,1.0,1,21471.0
258,0,51.0,1,1,6.0,2,2,3,3.0,0,3.0,0,2.0,0,4,1,0.0,1,17723.0
4702,0,29.0,1,1,17.0,2,1,3,4.0,1,3.0,3,5.0,0,4,0,2.0,2,22338.0
1926,0,31.0,1,3,13.0,2,2,2,4.0,3,3.0,1,1.0,0,3,1,0.0,3,26557.0
2930,0,38.0,1,3,9.0,3,2,4,4.0,1,3.0,0,6.0,1,3,0,2.0,2,28280.0
2481,0,36.0,1,3,9.0,3,1,4,4.0,0,3.0,0,3.0,0,2,1,1.0,1,20692.0
2854,0,31.0,1,1,9.0,2,0,3,6.0,1,3.0,3,4.0,0,2,0,2.0,2,24769.0
4210,1,19.0,1,1,10.0,3,2,3,4.0,0,3.0,2,3.0,0,4,1,1.0,1,20098.0
2306,1,29.0,1,3,29.0,2,1,2,4.0,3,5.0,1,2.0,0,3,1,1.0,3,22336.0
2157,0,36.0,1,1,8.0,3,2,3,3.0,0,3.0,2,5.0,0,5,1,1.0,1,17519.0
3586,0,46.0,1,1,12.0,3,0,3,6.0,1,5.0,3,3.0,1,3,1,1.0,2,24447.0
2048,0,38.0,0,1,8.0,2,1,3,1.0,1,5.0,2,7.0,1,1,0,0.0,2,20980.0
1465,0,36.0,0,1,29.0,3,2,2,1.0,1,3.0,1,5.0,0,3,0,0.0,2,17571.0
3304,1,23.0,0,1,10.0,2,2,3,5.0,0,3.0,0,2.0,1,3,0,1.0,1,21531.0
1314,0,45.0,0,3,8.0,2,1,3,3.0,1,3.0,1,5.0,0,1,1,2.0,2,20154.0
665,0,47.0,1,3,8.0,2,1,3,4.0,0,3.0,2,2.0,1,2,1,0.0,1,18294.0
1847,0,36.0,1,1,8.0,2,1,3,3.0,0,3.0,1,5.0,0,5,1,0.0,1,17543.0
2094,0,53.0,1,3,13.0,3,1,3,4.0,3,3.0,1,1.0,1,1,0,1.0,3,25934.0
1027,0,34.0,1,1,6.0,2,1,2,4.0,0,4.0,0,6.0,0,1,1,1.0,1,18294.0
3440,0,28.0,1,3,17.0,3,1,4,5.0,1,3.0,0,3.0,1,3,1,3.0,2,24447.0
1792,0,32.0,1,1,8.0,3,1,3,1.0,1,3.0,2,1.0,0,3,0,0.0,2,20055.0
1811,0,38.0,1,1,21.0,2,2,3,4.0,3,3.0,1,1.0,1,5,1,2.0,3,26510.0
1619,0,19.0,1,1,9.0,3,1,3,3.0,0,4.0,2,2.0,0,3,1,0.0,1,16483.0
722,0,38.0,0,1,16.0,3,2,3,3.0,0,3.0,0,1.0,0,5,0,2.0,1,17684.0
3063,0,34.0,1,3,7.0,3,2,3,2.0,1,5.0,1,3.0,0,4,0,1.0,2,22715.0
4447,0,41.0,0,3,12.0,2,2,3,5.0,3,5.0,1,7.0,1,5,0,1.0,3,29153.0
4588,0,59.0,1,1,12.0,1,1,3,5.0,3,4.0,1,4.0,1,5,1,2.0,3,29230.0
3608,0,41.0,1,1,23.0,2,0,3,4.0,3,3.0,3,8.0,1,4,1,1.0,3,26623.0
0,1,41.0,1,3,6.0,2,1,3,3.0,1,3.0,2,1.0,1,2,1,0.0,2,20993.0
2102,0,42.0,0,1,8.0,3,2,2,3.0,0,3.0,2,6.0,1,1,1,1.0,1,17515.0
1889,0,30.0,0,1,9.0,2,2,2,3.0,0,3.0,1,5.0,0,3,1,0.0,1,17097.0
4735,0,50.0,1,3,15.0,1,2,3,5.0,4,4.0,1,8.0,0,4,1,2.0,0,31798.0
3411,0,41.0,1,1,7.0,2,2,3,4.0,0,4.0,0,5.0,0,1,1,2.0,1,21065.0
4597,1,26.0,1,3,26.0,3,2,3,5.0,0,4.0,1,3.0,1,1,0,2.0,1,21091.0
4873,1,41.0,1,3,14.0,3,2,3,4.0,0,4.0,3,3.0,0,5,0,1.0,1,23339.0
1284,0,39.0,1,1,16.0,3,2,3,3.0,3,3.0,3,1.0,0,3,1,0.0,3,28464.0
303,0,31.0,1,3,13.0,1,2,3,2.0,1,3.0,0,5.0,0,2,1,0.0,2,21929.0
1961,0,43.0,0,1,15.0,3,2,3,3.0,1,3.0,1,4.0,1,3,1,2.0,2,20679.0
3693,1,30.0,1,3,16.0,3,1,3,6.0,0,4.0,3,3.0,0,1,1,2.0,1,21438.0
1438,1,23.0,0,3,15.0,3,2,2,3.0,0,5.0,1,2.0,0,5,1,0.0,1,16790.0
3613,0,28.0,1,1,15.0,3,1,3,2.0,0,3.0,1,2.0,0,4,0,1.0,1,22195.0
3075,0,45.0,1,1,15.0,2,2,4,2.0,0,3.0,0,4.0,1,3,1,3.0,1,21496.0
3007,0,26.0,1,3,33.0,3,0,3,4.0,1,3.0,3,3.0,0,4,0,1.0,2,24858.0
4338,0,58.0,1,3,36.0,3,2,3,5.0,4,3.0,1,5.0,0,3,1,1.0,0,32796.0
4424,0,55.0,1,2,26.0,3,2,3,4.0,3,4.0,1,4.0,0,3,1,2.0,3,29403.0
3105,0,44.0,1,1,15.0,2,1,3,4.0,1,4.0,1,6.0,0,3,1,1.0,2,23443.0
2673,1,30.0,1,1,25.0,3,2,3,5.0,0,3.0,2,3.0,1,3,0,2.0,1,21067.0
3990,0,36.0,1,3,7.0,3,2,3,5.0,1,5.0,3,2.0,0,1,1,2.0,2,22990.0
2644,0,28.0,0,1,7.0,1,2,3,5.0,1,5.0,0,7.0,0,3,0,2.0,2,22976.0
817,0,36.0,0,1,24.0,2,2,3,3.0,1,3.0,3,3.0,0,3,1,0.0,2,22779.0
2625,0,35.0,1,1,34.0,3,1,4,4.0,0,4.0,2,4.0,0,3,1,1.0,1,20989.0
3689,0,25.0,0,2,17.0,3,2,3,4.0,0,3.0,1,2.0,0,4,1,2.0,1,20823.0
4879,1,26.0,1,2,27.0,3,1,4,4.0,0,4.0,1,2.0,1,3,0,2.0,1,22347.0
1720,1,37.0,0,1,16.0,3,2,3,3.0,3,3.0,1,7.0,0,3,0,2.0,3,25048.0
1483,0,34.0,1,1,25.0,3,2,3,3.0,0,3.0,1,1.0,0,3,0,0.0,1,17661.0
218,0,45.0,0,3,12.0,3,0,2,4.0,3,3.0,3,7.0,0,4,1,0.0,3,23865.0
343,0,29.0,1,3,16.0,3,1,2,4.0,1,4.0,1,2.0,1,5,0,1.0,2,23268.0
1219,0,29.0,1,1,15.0,3,1,2,3.0,0,3.0,1,1.0,0,5,1,1.0,1,17974.0
2996,0,57.0,1,1,16.0,3,2,3,4.0,4,3.0,0,2.0,0,4,0,1.0,0,29781.0
4451,0,28.0,0,1,17.0,2,2,3,4.0,3,5.0,1,3.0,0,3,0,2.0,3,27471.0
1912,0,36.0,0,3,16.0,3,2,2,3.0,3,3.0,3,2.0,0,1,1,1.0,3,24980.0
1301,0,58.0,0,3,8.0,3,2,2,3.0,4,4.0,1,5.0,0,4,1,0.0,0,17705.0
4422,0,36.0,1,1,13.0,2,2,3,6.0,1,3.0,3,3.0,0,5,0,2.0,2,25324.0
4712,1,34.0,1,1,32.0,3,2,3,5.0,0,4.0,2,6.0,1,4,1,1.0,1,20991.0
3664,0,37.0,1,3,9.0,2,1,3,4.0,1,3.0,3,5.0,0,4,1,2.0,2,23180.0
871,1,24.0,1,1,23.0,2,1,3,3.0,0,4.0,0,2.0,0,2,0,1.0,1,17210.0
2922,0,26.0,1,3,20.0,3,2,3,4.0,0,3.0,0,3.0,0,3,1,1.0,1,20774.0
4383,1,33.0,0,3,18.0,2,2,3,2.0,1,3.0,1,2.0,0,3,1,1.0,2,23385.0
516,0,23.0,1,1,10.0,3,2,2,2.0,0,5.0,0,3.0,0,4,0,1.0,1,17819.0
4639,1,36.0,1,1,21.0,2,2,3,5.0,0,4.0,1,3.0,1,5,1,2.0,1,22421.0
269,0,36.0,1,1,12.0,2,2,2,3.0,0,3.0,0,1.0,0,5,1,1.0,1,18210.0
966,1,58.0,1,1,13.0,3,1,2,4.0,3,5.0,0,1.0,1,4,1,0.0,3,25008.0
193,0,43.0,0,1,13.0,3,2,2,2.0,0,3.0,1,5.0,0,4,0,1.0,1,17089.0
1419,0,42.0,1,1,24.0,2,2,2,3.0,1,5.0,1,7.0,1,1,0,0.0,2,20410.0
1261,0,38.0,1,1,24.0,3,2,2,5.0,1,3.0,1,4.0,1,5,0,1.0,2,20811.0
3902,0,36.0,1,1,7.0,2,1,4,6.0,0,3.0,1,3.0,0,3,0,2.0,1,21655.0
1375,1,32.0,0,1,11.0,2,1,2,1.0,0,3.0,2,4.0,1,1,0,1.0,1,17432.0
1431,0,32.0,1,3,6.0,3,1,2,3.0,3,3.0,1,2.0,0,5,1,0.0,3,25422.0
1676,0,22.0,1,1,11.0,2,2,2,1.0,0,4.0,1,2.0,1,4,1,0.0,1,17328.0
4455,0,37.0,0,1,15.0,2,1,4,2.0,3,5.0,1,2.0,0,3,0,2.0,3,30391.0
3030,0,25.0,0,1,16.0,2,2,3,5.0,0,4.0,1,3.0,0,5,1,1.0,1,21372.0
916,0,46.0,1,3,10.0,3,1,2,4.0,2,4.0,0,3.0,0,5,1,0.0,4,33789.0
1512,1,26.0,1,1,31.0,2,2,2,5.0,0,3.0,2,2.0,0,1,0,0.0,1,17293.0
2568,1,32.0,1,3,13.0,2,2,4,6.0,1,3.0,0,6.0,1,3,1,2.0,2,24850.0
2277,0,38.0,1,3,16.0,3,2,3,4.0,3,3.0,1,1.0,1,3,1,1.0,3,23740.0
2140,0,27.0,1,1,10.0,2,1,3,3.0,0,3.0,2,2.0,0,1,0,0.0,1,17318.0
4653,0,28.0,1,1,9.0,2,1,3,4.0,1,3.0,1,2.0,0,5,1,1.0,2,22905.0
558,0,32.0,0,1,30.0,2,2,3,3.0,1,3.0,0,2.0,0,4,1,0.0,2,20309.0
1903,0,46.0,1,3,16.0,3,1,3,4.0,3,3.0,1,3.0,1,1,0,0.0,3,24071.0
470,0,24.0,0,3,30.0,3,2,2,3.0,0,3.0,0,1.0,0,4,0,1.0,1,17400.0
1839,0,31.0,1,1,15.0,2,2,2,4.0,0,4.0,2,1.0,1,3,1,0.0,1,17657.0
3766,0,47.0,1,1,9.0,2,2,3,4.0,3,3.0,1,5.0,0,1,1,2.0,3,27256.0
4384,0,25.0,0,3,31.0,3,2,3,4.0,0,3.0,1,2.0,0,4,1,2.0,1,21078.0
3221,1,22.0,1,1,17.0,2,1,3,5.0,0,5.0,2,3.0,0,3,1,1.0,1,20094.0
4086,0,37.0,0,1,10.0,3,2,2,4.0,0,4.0,2,6.0,0,4,1,1.0,1,20766.0
884,0,40.0,1,3,16.0,1,1,2,4.0,1,4.0,1,1.0,0,5,1,0.0,2,21852.0
4541,0,53.0,0,1,32.0,3,1,3,5.0,4,3.0,1,5.0,0,5,0,2.0,0,32504.0
811,0,38.0,1,3,8.0,3,2,2,3.0,3,4.0,3,1.0,0,4,1,0.0,3,22351.0
1732,0,32.0,1,1,8.0,1,2,2,4.0,1,5.0,2,5.0,0,4,0,1.0,2,17176.0
1191,0,31.0,1,3,11.0,2,1,3,3.0,1,3.0,1,2.0,0,1,0,2.0,2,20476.0
1577,1,25.0,1,3,11.0,3,2,2,4.0,1,3.0,2,2.0,1,3,0,1.0,2,20744.0
3739,0,42.0,1,3,11.0,3,1,3,4.0,3,3.0,1,2.0,1,1,0,2.0,3,29125.0
4672,0,60.0,1,3,7.0,1,2,4,4.0,3,3.0,1,5.0,1,1,1,1.0,3,30582.0
302,0,28.0,1,1,22.0,3,2,3,2.0,1,5.0,2,1.0,0,5,0,2.0,2,20661.0
1181,0,49.0,1,1,12.0,2,1,2,4.0,4,3.0,1,3.0,1,5,1,0.0,0,28966.0
4280,1,42.0,0,3,11.0,3,2,3,4.0,1,4.0,3,3.0,0,3,1,1.0,2,28033.0
3056,0,29.0,1,3,9.0,3,1,3,4.0,1,4.0,0,3.0,1,3,1,1.0,2,23457.0
3568,0,40.0,1,3,13.0,3,2,3,2.0,3,3.0,1,4.0,0,4,1,2.0,3,26915.0
2570,1,59.0,1,1,30.0,3,1,4,4.0,3,3.0,0,3.0,0,3,1,1.0,3,28990.0
4584,0,28.0,1,1,11.0,2,1,4,4.0,0,3.0,2,3.0,0,1,0,1.0,1,20996.0
2635,0,28.0,1,1,16.0,3,1,3,4.0,0,4.0,2,3.0,0,3,1,1.0,1,20957.0
4626,0,34.0,1,1,20.0,2,1,3,4.0,0,3.0,3,5.0,0,3,1,1.0,1,22130.0
678,0,48.0,1,1,26.0,3,2,2,3.0,0,3.0,0,5.0,0,2,0,0.0,1,17259.0
2913,1,33.0,0,3,18.0,2,2,3,3.0,1,3.0,0,2.0,0,3,1,2.0,2,23385.0
1446,0,34.0,1,3,34.0,3,1,3,4.0,1,3.0,1,2.0,0,5,1,0.0,2,21712.0
3116,0,43.0,1,3,21.0,3,0,4,5.0,1,3.0,3,2.0,0,3,0,1.0,2,24922.0
316,0,49.0,1,1,6.0,1,1,2,4.0,4,3.0,2,1.0,1,3,1,0.0,0,28964.0
4759,0,41.0,0,1,33.0,3,1,4,5.0,1,3.0,1,5.0,1,1,0,2.0,2,23100.0
2961,0,26.0,1,3,15.0,2,2,3,3.0,1,4.0,0,2.0,0,4,0,1.0,2,23529.0
1189,0,33.0,1,3,8.0,3,2,3,3.0,1,3.0,1,2.0,0,3,1,1.0,2,20505.0
770,0,46.0,1,1,6.0,3,2,2,3.0,2,3.0,1,1.0,0,5,1,1.0,4,34627.0
1310,0,58.0,0,1,21.0,2,2,2,3.0,4,3.0,1,3.0,1,1,1,0.0,0,30787.0
3617,0,37.0,1,1,12.0,2,1,3,4.0,3,5.0,1,6.0,0,4,1,2.0,3,26686.0
271,1,47.0,0,1,35.0,2,2,2,3.0,3,4.0,0,2.0,1,3,1,0.0,3,26849.0
4571,0,30.0,1,1,14.0,3,1,4,5.0,0,3.0,1,8.0,0,5,1,2.0,1,21210.0
605,0,38.0,0,1,18.0,2,2,2,4.0,1,5.0,1,3.0,0,5,1,0.0,2,21288.0
2990,0,30.0,1,3,17.0,2,2,3,4.0,0,3.0,3,3.0,0,4,0,1.0,1,21320.0
3562,0,27.0,1,1,10.0,2,1,3,4.0,0,3.0,1,3.0,0,3,1,2.0,1,20739.0
315,0,43.0,0,1,16.0,2,1,2,3.0,0,3.0,2,1.0,0,5,0,1.0,1,17455.0
4546,0,43.0,0,1,9.0,3,2,3,4.0,0,3.0,2,7.0,1,1,1,2.0,1,21193.0
480,1,30.0,0,3,18.0,2,2,3,4.0,0,5.0,0,2.0,0,5,1,0.0,1,17033.0
1083,1,40.0,1,1,15.0,2,2,2,3.0,0,5.0,2,4.0,0,1,1,1.0,1,17018.0
3278,0,35.0,1,3,16.0,2,1,4,4.0,1,3.0,0,3.0,0,2,1,3.0,2,24392.0
4749,0,36.0,1,2,15.0,1,2,4,4.0,0,3.0,3,3.0,0,5,0,2.0,1,23001.0
4534,0,36.0,1,1,34.0,3,1,3,5.0,0,5.0,2,3.0,0,4,0,2.0,1,21237.0
2220,0,44.0,1,3,34.0,3,1,2,1.0,4,3.0,1,4.0,1,1,1,0.0,0,28320.0
3882,1,24.0,0,3,16.0,3,2,3,4.0,0,5.0,1,3.0,0,5,1,1.0,1,20468.0
4076,0,29.0,1,1,28.0,3,2,3,4.0,0,3.0,1,3.0,0,1,0,1.0,1,21391.0
4536,0,33.0,1,3,20.0,2,2,4,4.0,1,3.0,1,4.0,0,1,0,3.0,2,23081.0
4146,0,60.0,1,2,13.0,3,2,3,4.0,0,3.0,1,2.0,0,4,0,1.0,1,20945.0
